country_code,year,metric,exclusion_reason,student_coverage_share,complete_isced_structure_share
BE,2021,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2022,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2023,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
DK,2014,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2014,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2015,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2017,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2018,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2019,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2020,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2021,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2022,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2023,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2015,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2016,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2020,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2021,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2022,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2023,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2015,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2016,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2018,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2020,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2021,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2016,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2017,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2018,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2019,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2020,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2021,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2022,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2023,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
LV,2023,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
ME,2014,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
ME,2015,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
ME,2016,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
ME,2022,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2014,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2015,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2016,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2017,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2018,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2019,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
MT,2017,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
NL,2023,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
RO,2014,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
RO,2015,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
RO,2016,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
RO,2017,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
RO,2018,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
RO,2019,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
RO,2020,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
RO,2021,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
RS,2014,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
RS,2015,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
UK,2017,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
UK,2018,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
UK,2019,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
UK,2020,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
UK,2021,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
UK,2023,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
VA,2017,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
VA,2018,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
VA,2019,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
VA,2020,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
VA,2021,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
XK,2017,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
XK,2018,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
XK,2019,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
XK,2022,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
XK,2023,isced5_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2017,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2018,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2019,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2020,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2021,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2022,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AD,2023,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2013,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2014,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2015,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2016,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2022,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
AL,2023,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2014,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2015,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2016,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2017,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2018,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2019,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2020,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2021,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2022,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
BE,2023,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
DK,2014,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2014,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2015,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2017,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2018,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2019,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2020,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2021,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2022,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
FR,2023,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2015,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2016,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2020,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2021,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2022,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
IS,2023,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2015,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2016,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2018,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2020,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LT,2021,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2016,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2017,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2018,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2019,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2020,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2021,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2022,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LU,2023,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
LV,2023,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
ME,2014,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
ME,2015,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
ME,2016,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
ME,2022,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2014,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2015,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2016,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2017,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
MK,2018,isced6_share,metric_missing_or_unreliable_after_coverage_filter,,
